,Structure File,Kd(nM),Receptor,Ligand ID,rec_ligscaff,Reference
0,http://www.bindingdb.org/data/surflex/4ABV_FT2/4ABV-results_8726.mol2,144000.0,4ABV,8726,4ABV_FT2,1
1,http://www.bindingdb.org/data/surflex/4ABV_FT2/4ABV-results_50225216.mol2,0.3,4ABV,50225216,4ABV_FT2,0
3,http://www.bindingdb.org/data/surflex/4ABV_FT2/4ABV-results_50225219.mol2,88.0,4ABV,50225219,4ABV_FT2,0
4,http://www.bindingdb.org/data/surflex/4ABV_FT2/4ABV-results_50225224.mol2,14.0,4ABV,50225224,4ABV_FT2,0
6,http://www.bindingdb.org/data/surflex/4ABV_FT2/4ABV-results_50225226.mol2,0.2,4ABV,50225226,4ABV_FT2,0
7,http://www.bindingdb.org/data/surflex/3S9T_E49/3S9T-results_50329833.mol2,100.0,3S9T,50329833,3S9T_E49,0
8,http://www.bindingdb.org/data/surflex/3S9T_E49/3S9T-results_50329835.mol2,60.0,3S9T,50329835,3S9T_E49,0
9,http://www.bindingdb.org/data/surflex/3S9T_E49/3S9T-results_50329836.mol2,30.0,3S9T,50329836,3S9T_E49,0
194,http://www.bindingdb.org/data/surflex/3P8H_P8H/3P8H-results_50341830.mol2,26000.0,3P8H,50341830,3P8H_P8H,0
267,http://www.bindingdb.org/data/surflex/2C5N_CK8/2C5N-results_8043.mol2,151.0,2C5N,8043,2C5N_CK8,1
268,http://www.bindingdb.org/data/surflex/2C5N_CK8/2C5N-results_8046.mol2,121.0,2C5N,8046,2C5N_CK8,0
270,http://www.bindingdb.org/data/surflex/2C5N_CK8/2C5N-results_8068.mol2,45.0,2C5N,8068,2C5N_CK8,0
327,http://www.bindingdb.org/data/surflex/1G4O_BSB/1G4O-results_12013.mol2,6.0,1G4O,12013,1G4O_BSB,1
328,http://www.bindingdb.org/data/surflex/1G4O_BSB/1G4O-results_12014.mol2,2.0,1G4O,12014,1G4O_BSB,0
